Doc_i;ID_i;Doc_j;ID_j;Cosine Similarity
195;71011;2292;29856;0,6397909
195;71011;2411;35577;0,6188908
195;71011;2490;36520;0,5032353
195;71011;2856;61776;0,6834237
195;71011;3036;76759;0,6834245
195;71011;3630;148771;0,6124869
195;71011;4070;208888;0,5468697
197;71418;515;150576;0,5834529
197;71418;1636;38615;0,5264247
197;71418;2426;35597;0,5503389
197;71418;2427;35598;0,5169417
197;71418;2516;37946;0,5780121
197;71418;2939;68083;0,6745174
197;71418;3060;79432;0,5093456
197;71418;3103;84840;0,5520707
200;71670;451;130224;0,5462406
200;71670;1046;4728;0,5352527
208;73640;259;90211;0,5562519
208;73640;271;93451;0,52739
208;73640;382;119749;0,5650684
208;73640;470;135264;0,553655
208;73640;1766;105570;0,5588126
208;73640;2868;62964;0,6313875
208;73640;3148;90213;0,5482327
208;73640;3872;185557;0,5774403
220;78751;324;104720;0,7157379
227;81482;408;123551;0,5289486
227;81482;845;204023;0,5747865
233;82918;2717;51641;0,6123308
233;82918;3061;79498;0,5699639
233;82918;3105;85270;0,6007179
233;82918;3434;124186;0,5449503
233;82918;3543;136036;0,5091529
240;84550;544;155061;0,5957355
240;84550;2686;49507;0,6137875
244;85941;273;94395;0,5076534
244;85941;2766;55370;0,5103831
245;86269;246;86273;0,5728534
245;86269;2987;72440;0,5745155
245;86269;3111;86265;0,6224734
245;86269;3112;86267;0,6448903
245;86269;3113;86268;0,6826354
245;86269;3114;86270;0,5692248
246;86273;262;91188;0,5303334
246;86273;2987;72440;0,5153296
246;86273;3111;86265;0,5535588
246;86273;3112;86267;0,6319077
246;86273;3113;86268;0,6535259
246;86273;3114;86270;0,6725654
252;88411;3017;75015;0,5382982
259;90211;271;93451;0,5268637
259;90211;382;119749;0,5830728
259;90211;470;135264;0,557624
259;90211;2868;62964;0,61461
259;90211;3148;90213;0,6066092
259;90211;3635;149098;0,5313665
259;90211;3872;185557;0,5887024
262;91188;267;91881;0,5333135
262;91188;2981;71916;0,50629
262;91188;2987;72440;0,5632269
262;91188;3112;86267;0,5050055
262;91188;3113;86268;0,5827061
264;91614;267;91881;0,6011242
266;91843;348;109549;0,5345348
266;91843;3422;123010;0,5075419
269;92490;961;222690;0,5142378
269;92490;3663;152484;0,5559132
269;92490;4019;204221;0,5819867
271;93451;382;119749;0,5308468
271;93451;470;135264;0,5747046
271;93451;2868;62964;0,5930077
271;93451;3110;86093;0,5109549
271;93451;3148;90213;0,5258826
271;93451;3213;97812;0,5144746
271;93451;3872;185557;0,5488123
273;94395;1157;11047;0,5057724
273;94395;1172;11622;0,5466531
273;94395;1173;11623;0,5466531
273;94395;1202;12289;0,5048249
273;94395;1927;11625;0,5639626
273;94395;1982;16525;0,5400938
273;94395;2672;47966;0,5210519
273;94395;2766;55370;0,5469393
276;95191;3186;95190;0,9046995
280;95739;1778;118550;0,5517344
283;96321;284;96323;0,565473
283;96321;285;96329;0,5223011
283;96321;315;103805;0,5165721
283;96321;2605;42122;0,5060511
285;96329;315;103805;0,6727214
285;96329;430;126575;0,5062973
285;96329;442;129326;0,510788
285;96329;1283;15448;0,5487058
285;96329;2605;42122;0,5522111
285;96329;3192;96331;0,5559268
285;96329;3279;103806;0,6209143
286;96400;1945;12704;0,5117328
310;103168;355;113456;0,5545309
310;103168;396;122255;0,5120098
315;103805;430;126575;0,5538982
315;103805;442;129326;0,5089003
315;103805;2605;42122;0,5907887
315;103805;2970;70861;0,567824
315;103805;3279;103806;0,6768752
316;103851;399;123004;0,5446389
316;103851;473;135875;0,5156107
316;103851;540;153941;0,5826569
316;103851;558;157436;0,5687428
316;103851;860;206480;0,5208278
316;103851;966;223136;0,5118499
316;103851;1589;33196;0,5209556
316;103851;1830;149252;0,5482238
316;103851;2292;29856;0,5758483
316;103851;2411;35577;0,5732708
316;103851;2856;61776;0,6430269
316;103851;3036;76759;0,6263012
316;103851;3630;148771;0,5580401
323;104384;787;194065;0,5633814
326;105054;3300;105055;0,8224512
333;105915;1525;26936;0,7611727
333;105915;2542;39542;0,6126569
333;105915;3782;169929;0,6553285
348;109549;3422;123010;0,5682846
348;109549;3989;200629;0,5152609
354;113298;994;227339;0,5187262
354;113298;2268;28369;0,5042918
355;113456;4126;216581;0,500208
356;113580;3754;166447;0,5026093
364;115525;3253;101901;0,5516818
372;117551;3539;135584;0,5009924
374;117914;3052;78243;0,5871161
382;119749;470;135264;0,5830226
382;119749;1766;105570;0,5220567
382;119749;2868;62964;0,634626
382;119749;3093;83302;0,5066182
382;119749;3110;86093;0,538529
382;119749;3148;90213;0,5438946
382;119749;3635;149098;0,5257697
